,rdkit_smiles
66008,CCN(CC)S(=O)(=O)c1ccc([N+](=O)[O-])cc1
71409,CC(=O)NNC(S)=NCC(C)C
62011,CCC(C)C(=O)OC(C(=O)NC(N)=O)C(C)C
50564,COC(=O)C(C)NC(=O)C12CC3(C)CC(C)(CC(C)(C3)C1)C2
59974,CN(C)CCCNC(N)=O
74545,CC1CCN(S(=O)(=O)c2ccc(S(=O)(=O)N3CCC4(CC3)OCCO4)cc2)CC1
6221,COC(=O)c1ccc(C(=O)OC)c(NS(=O)(=O)c2c(C)cc(C)cc2C)c1
81888,CCS(=O)(=O)N1CCC2(CC1)OCCN2S(=O)(=O)c1ccc(OC)cc1
53856,CC(C)(C)C(=O)NCC(=O)O
51585,COC(CN(C)C(=S)NCC(=O)O)OC
52405,CCCCCCCCCCCCS(=O)(=O)CCS(=O)(=O)OCC(F)(F)C(F)F
57857,O=S(=O)([O-])CCl
69206,O=C(NCCCNC(=O)C1CC1)C1CC1
70764,CCCN=C(S)NNC(C)=O
69620,CC(C)N=C(S)NNC(=O)C(C)C
81889,COc1ccc(S(=O)(=O)N2CCOC23CCN(S(=O)(=O)c2ccccc2)CC3)cc1
81893,COc1ccc(S(=O)(=O)N2CCOC23CCN(S(=O)(=O)c2ccc([N+](=O)[O-])cc2)CC3)cc1
79013,COc1ccc(S(=O)(=O)n2nc(C)c(S(=O)(=O)N3CCOCC3)c2C)cc1OC
73617,COc1cc(S(=O)(=O)N2CCOCC2)c(OC)c(S(=O)(=O)N2CCOCC2)c1
62337,CCC(CO)NS(=O)(=O)c1ccc(Cl)c(Cl)c1
21556,CN(C)C(=O)C1CCCN1S(=O)(=O)c1c(Cl)cccc1Cl
81890,COc1ccc(S(=O)(=O)N2CCOC23CCN(S(=O)(=O)c2ccc(C)cc2)CC3)cc1
42599,O=C(O)c1ccc(F)c(S(=O)(=O)N2CCCCC2)c1
7843,CCCCN(C)S(=O)(=O)c1c(C(=O)OCC)c(C)n(C)c1C
58268,CS(=O)(=O)CCCN
61609,CCOCCCNC(=O)C1CCCC(C(=O)NCCCOCC)C1
10867,Cc1cc(C)c(S(=O)(=O)N2CCN(c3ccc(N4CCCCCC4)nn3)CC2)c(C)c1
60229,CCCNC(C(=O)O)C(C)C
56033,CC(C)NCC(=O)NC(=O)NC(C)C
71001,CCCCCCCCCCCCS(=O)(=O)CC(Cl)CO
54560,CSCCCN=C(S)NNC(N)=O
