,compound_id,smiles,docking_score,rdkit_smiles,VALUE_NUM_mean,VALUE_NUM_std,Perc_Var,Remove_BadDuplicate,rank,top_100
6777,ZINC000530151314,C[C@H]1CC[C@@]2(CCN(S(=O)(=O)c3c(C(=O)O)cnn3C)C2)C1,-3.88759,C[C@H]1CC[C@@]2(CCN(S(=O)(=O)c3c(C(=O)O)cnn3C)C2)C1,-3.88759,,-0.0,0,264.0,0
7083,ZINC000044810047,CC[C@@H](C#N)C(=O)N[C@@H](C)CCCN(CC)CC,-3.88849,CC[C@@H](C#N)C(=O)N[C@@H](C)CCCN(CC)CC,-3.88849,,-0.0,0,265.0,0
2954,ZINC000554878800,COCCN(C[C@@H](C)COC)[C@@H]1CCS(=O)(=O)C1,-3.9033,COCCN(C[C@@H](C)COC)[C@@H]1CCS(=O)(=O)C1,-3.9033,,-0.0,0,266.0,0
6775,ZINC000558862824,C[C@@H]1CCCN1S(=O)(=O)NCc1cccc(OCC(=O)O)c1,-3.90344,C[C@@H]1CCCN1S(=O)(=O)NCc1cccc(OCC(=O)O)c1,-3.90344,,-0.0,0,267.0,0
4788,ZINC000186171284,CCOC(=O)c1nn(C)cc1CN1CCO[C@@H](C)C1,-3.9074,CCOC(=O)c1nn(C)cc1CN1CCO[C@@H](C)C1,-3.9074,,-0.0,0,268.0,0
248,ZINC000634651938,CCOCC[C@@H](O)CN1CC[C@]1(C)C1CCCCC1,-3.9095,CCOCC[C@@H](O)CN1CC[C@]1(C)C1CCCCC1,-3.9095,,-0.0,0,269.0,0
551,ZINC000124592231,CSC[C@@H](CCO)NC(=O)NCc1ccc(C)cc1,-3.91011,CSC[C@@H](CCO)NC(=O)NCc1ccc(C)cc1,-3.91011,,-0.0,0,270.0,0
5089,ZINC000347095479,Cn1cc(CN(CCCO)Cc2ccccn2)nn1,-3.91142,Cn1cc(CN(CCCO)Cc2ccccn2)nn1,-3.91142,,-0.0,0,271.0,0
6626,ZINC000466696680,CCCC(C)(C)NC(=O)N[C@H]1C[C@](C)(OC)C1(C)C,-3.91237,CCCC(C)(C)NC(=O)N[C@H]1C[C@](C)(OC)C1(C)C,-3.91237,,-0.0,0,272.0,0
8018,ZINC000452323900,CC[C@H](COCC(F)(F)F)NC(=O)CC(=O)N(C)C,-3.91423,CC[C@H](COCC(F)(F)F)NC(=O)CC(=O)N(C)C,-3.91423,,-0.0,0,273.0,0
5668,ZINC000437972473,C/C=C\C[C@H](CO)NC[C@H](C)c1ccc(F)cc1,-3.91506,C/C=C\C[C@H](CO)NC[C@H](C)c1ccc(F)cc1,-3.91506,,-0.0,0,274.0,0
8176,ZINC000492797442,CN(CCCCO)C(=O)C1(CNC(=O)OC(C)(C)C)CCCC1,-3.91895,CN(CCCCO)C(=O)C1(CNC(=O)OC(C)(C)C)CCCC1,-3.91895,,-0.0,0,275.0,0
5881,ZINC000494574174,CCC[C@@H](C)N1C[C@H](C(=O)NCC(C)(C)OCCO)CC1=O,-3.91911,CCC[C@@H](C)N1C[C@H](C(=O)NCC(C)(C)OCCO)CC1=O,-3.91911,,-0.0,0,276.0,0
8337,ZINC000576689923,C=C(C)C[C@H](C)C(=O)N1C[C@H](c2ccccc2)[C@@H]2CCC[C@H]21,-3.92061,C=C(C)C[C@H](C)C(=O)N1C[C@H](c2ccccc2)[C@@H]2CCC[C@H]21,-3.92061,,-0.0,0,277.0,0
417,ZINC000330558404,CNC(=O)[C@@H]1CCC[C@@H]1NCCCS(=O)(=O)NC,-3.92459,CNC(=O)[C@@H]1CCC[C@@H]1NCCCS(=O)(=O)NC,-3.92459,,-0.0,0,278.0,0
4787,ZINC000229633546,COc1ccc(S(=O)(=O)NC[C@@]2(O)CCOC2)cc1OC,-3.92591,COc1ccc(S(=O)(=O)NC[C@@]2(O)CCOC2)cc1OC,-3.92591,,-0.0,0,279.0,0
2798,ZINC000451677860,COC(=O)[C@@H]1CCCC[C@@H]1S(=O)(=O)NCc1ccnc(C)c1,-3.93075,COC(=O)[C@@H]1CCCC[C@@H]1S(=O)(=O)NCc1ccnc(C)c1,-3.93075,,-0.0,0,280.0,0
6771,ZINC000161938475,C[C@@H]1C[C@H]1CNS(=O)(=O)c1ccc(C(=O)O)cc1,-3.93386,C[C@@H]1C[C@H]1CNS(=O)(=O)c1ccc(C(=O)O)cc1,-3.93386,,-0.0,0,281.0,0
3286,ZINC000583484220,CCCC1(C(=O)NCc2cnc(C3CC3)o2)CCC1,-3.9341,CCCC1(C(=O)NCc2cnc(C3CC3)o2)CCC1,-3.9341,,-0.0,0,282.0,0
